연도,국가명,수입,수출,환적,전체물동량
2022,사우디아라비아,27214.25,37663.5,33792.75,98670.5
2022,상투메 프린시페,0.0,4.0,0.0,4.0
2022,세네갈,958.0,682.0,3203.0,4843.0
2022,세르비아,0.0,0.0,0.0,0.0
2022,세이셸,79.0,168.0,89.0,336.0
2022,세인트 빈센트 그레나딘,0.0,7.0,192.0,199.0
2022,세인트루시아,48.0,34.0,405.0,487.0
2022,세인트키츠 네비스,0.0,3.0,124.0,127.0
2022,소말리아,0.0,86.0,185.0,271.0
2022,솔로몬제도,148.0,339.0,1981.0,2468.0
2022,수단,113.0,23.0,1377.0,1513.0
2022,수리남,553.0,27.0,3005.0,3585.0
2022,스리랑카,5026.0,12742.25,3945.0,21713.25
2022,스웨덴,15547.25,5215.0,15018.0,35780.25
2022,스위스,0.0,0.0,4.0,4.0
2022,스페인,52456.5,31222.0,45496.5,129175.0
2022,슬로바키아,5.0,0.0,0.0,5.0
2022,슬로베니아,13991.25,108583.5,16243.75,138818.5
2022,시리아,18.0,281.25,563.0,862.25
2022,시에라 리온,174.0,62.0,125.0,361.0
2022,싱가포르,52979.25,68019.25,94552.0,215550.5
2022,아랍에미리트연합국,61025.75,61862.5,69666.25,192554.5
2022,아루바,4.0,164.0,585.25,753.25
2022,아르헨티나,14074.0,6340.0,27043.0,47457.0
2022,아메리칸사모아,3998.0,622.0,1767.0,6387.0
2022,아이슬란드,64.0,23.0,108.0,195.0
2022,아이티,143.0,299.0,1886.0,2328.0
2022,아일랜드,3156.0,386.0,1377.25,4919.25
2022,알바니아,664.0,59.0,709.25,1432.25
2022,알제리,40.0,1865.0,2953.75,4858.75
2022,앙골라,172.0,543.0,634.0,1349.0
2022,앤티가 바부다,2.0,6.0,254.25,262.25
2022,앤틸리스제도,34.0,42.0,781.5,857.5
2022,앵귈라,0.0,0.0,25.0,25.0
2022,에리트레아,0.0,4.0,2.0,6.0
2022,에스토니아,2391.0,231.5,2315.0,4937.5
2022,에콰도르,11026.0,23184.0,103648.0,137858.0
2022,에티오피아,0.0,0.0,2.0,2.0
2022,엘살바도르,1022.0,680.0,7677.5,9379.5
2022,영국,20455.0,10748.75,16716.75,47920.5
2022,영국령 버진아일랜드,0.0,9.0,46.0,55.0
2022,예멘,2527.0,93.0,191.0,2811.0
2022,오만,5459.25,2114.0,13093.5,20666.75
2022,오스트리아,0.0,0.0,0.0,0.0
2022,온두라스,881.0,433.0,8662.75,9976.75
2022,왈리스 푸투나,0.0,0.0,3.0,3.0
2022,요르단,3663.0,2879.0,5109.25,11651.25
2022,우간다,0.0,0.0,21.0,21.0
2022,우루과이,5114.0,2843.0,14610.0,22567.0
2022,우크라이나,1726.0,203.0,4868.0,6797.0
2022,원양어획지역,0.0,0.0,1500.0,1500.0
2022,이라크,72.0,3159.75,904.0,4135.75
2022,이란,556.0,1971.0,77.0,2604.0
2022,이스라엘,10862.0,13559.5,23780.5,48202.0
2022,이집트,7238.0,39879.0,18812.25,65929.25
2022,이탈리아,67366.5,57959.0,64394.25,189719.75
2022,인도,105394.0,154496.0,125467.25,385357.25
2022,인도네시아,81565.25,110966.0,200990.5,393521.75
2022,일본,756854.0,420403.0,1788389.25,2965646.25
2022,자메이카,9216.0,1885.0,24568.75,35669.75
